state,trump-clinton,clinton,trump
AK,0.147,0.366,0.513
AL,0.277,0.344,0.621
AR,0.269,0.337,0.606
AZ,0.036,0.451,0.487
CA,-0.301,0.617,0.316
CO,-0.049,0.482,0.433
CT,-0.137,0.546,0.409
DC,-0.868,0.909,0.041
DE,-0.115,0.534,0.419
FL,0.012,0.478,0.49
GA,0.051,0.459,0.51
HI,-0.322,0.622,0.3
IA,0.094,0.417,0.511
ID,0.318,0.275,0.593
IL,-0.17,0.558,0.388
IN,0.191,0.378,0.569
KS,0.206,0.361,0.567
KY,0.298,0.327,0.625
LA,0.197,0.384,0.581
MA,-0.272,0.6,0.328
MD,-0.264,0.603,0.339
ME,-0.029,0.478,0.449
MI,0.002,0.473,0.475
MN,-0.015,0.464,0.449
MO,0.187,0.381,0.568
MS,0.178,0.401,0.579
MT,0.205,0.357,0.562
NC,0.036,0.462,0.498
ND,0.358,0.272,0.63
NE,0.25,0.337,0.587
NH,-0.003,0.468,0.465
NJ,-0.141,0.555,0.414
NM,-0.083,0.483,0.4
NV,-0.024,0.479,0.455
NY,-0.225,0.59,0.365
OH,0.081,0.436,0.517
OK,0.364,0.289,0.653
OR,-0.11,0.501,0.391
PA,0.007,0.479,0.486
RI,-0.155,0.544,0.389
SC,0.142,0.407,0.549
SD,0.298,0.317,0.615
TN,0.26,0.347,0.607
TX,0.09,0.432,0.522
UT,0.18,0.275,0.455
VA,-0.054,0.498,0.444
VT,-0.264,0.567,0.303
WA,-0.155,0.518,0.363
WI,0.007,0.465,0.472
WV,0.421,0.265,0.686
WY,0.463,0.219,0.682
